Order_ID,Order_Date,Shipping_Date,Aging,Ship_Mode,Product_Category,Product
HF-1902-72528,2015-02-11,2015-02-14,3,First Class,Home & Furniture,Umbrella
FA-1957-79369,2013-03-25,2013-04-09,15,First Class,Fashion,T-Shirts
HF-1974-06496,2014-12-15,2015-01-12,28,Standard Class,Home & Furniture,Dinner Crockery
HF-1983-21002,2012-10-11,2012-10-30,19,Standard Class,Home & Furniture,Towels
FA-1921-34859,2016-04-17,2016-04-21,4,Standard Class,Fashion,Casual Shoes
EL-1997-13763,2014-12-04,2014-12-29,25,First Class,Electronics,Tablet
FA-2017-44047,2016-08-06,2016-09-04,29,First Class,Fashion,Sports Wear
AU-1915-86976,2013-03-25,2013-03-27,2,Standard Class,Auto & Accessories,Car & Bike Care
FA-1998-26602,2021-09-01,2021-09-30,29,First Class,Fashion,Casual Shoes
HF-1967-83156,2013-03-26,2013-04-12,17,Standard Class,Home & Furniture,Sofas
FA-1991-21177,2010-05-12,2010-05-18,6,Standard Class,Fashion,Casual Shoes
AU-1969-18689,2016-09-19,2016-10-09,20,First Class,Auto & Accessories,Car Mat
AU-1922-10929,2021-03-01,2021-03-27,26,First Class,Auto & Accessories,Car Speakers
FA-1955-49657,2017-08-16,2017-08-30,14,First Class,Fashion,Sports Wear
EL-1908-17930,2010-07-06,2010-07-28,22,Standard Class,Electronics,Apple Laptop
FA-2020-50182,2017-10-04,2017-10-28,24,Standard Class,Fashion,Sneakers
EL-1973-42149,2013-03-12,2013-03-30,18,Standard Class,Electronics,Keyboard
FA-1940-39246,2018-01-27,2018-02-07,11,First Class,Fashion,Suits
FA-1949-59363,2013-04-03,2013-04-14,11,First Class,Fashion,Formal Shoes
FA-1936-54836,2021-04-11,2021-05-03,22,First Class,Fashion,Shirts
HF-1950-57927,2016-03-30,2016-04-11,12,First Class,Home & Furniture,Curtains
AU-1990-64734,2014-09-27,2014-10-15,18,Standard Class,Auto & Accessories,Car Speakers
FA-1951-66691,2022-06-01,2022-06-15,14,First Class,Fashion,T-Shirts
EL-1949-80297,2020-07-23,2020-08-15,23,First Class,Electronics,Samsung Mobile
HF-1990-08583,2012-07-18,2012-08-14,27,First Class,Home & Furniture,Shoe Rack
AU-1963-53161,2021-08-27,2021-09-26,30,First Class,Auto & Accessories,Car Media Players
EL-1925-13324,2014-01-11,2014-02-02,22,Standard Class,Electronics,Mixer/Juicer
FA-2008-59578,2017-04-19,2017-05-06,17,First Class,Fashion,Sports Wear
HF-1957-66797,2021-03-07,2021-03-21,14,Standard Class,Home & Furniture,Dinner Crockery
HF-1931-49922,2018-04-17,2018-05-16,29,Standard Class,Home & Furniture,Dinner Crockery
AU-1984-27995,2018-12-14,2019-01-01,18,Standard Class,Auto & Accessories,Car & Bike Care
AU-1922-38158,2014-01-12,2014-01-14,2,Standard Class,Auto & Accessories,Car Media Players
AU-1929-83974,2018-03-09,2018-03-24,15,First Class,Auto & Accessories,Car Speakers
