Order_ID,Order_Date,Shipping_Date,Aging,Ship_Mode,Product_Category,Product
FA-1940-19981,2023-04-15,2023-04-25,10,Standard Class,Fashion,Formal Shoes
AU-1936-56245,2010-03-10,2010-03-19,9,Standard Class,Auto & Accessories,Car Body Covers
FA-1986-09528,2020-10-20,2020-10-30,10,Standard Class,Fashion,Formal Shoes
AU-1933-85509,2013-10-31,2013-11-08,8,First Class,Auto & Accessories,Car & Bike Care
AU-1954-36756,2014-01-26,2014-02-06,11,First Class,Auto & Accessories,Car Speakers
FA-1951-83480,2015-05-29,2015-06-03,5,First Class,Fashion,Casual Shoes
FA-1919-39733,2011-01-21,2011-01-24,3,First Class,Fashion,Suits
FA-1933-53050,2016-10-19,2016-10-23,4,First Class,Fashion,T-Shirts
HF-1983-99588,2020-02-03,2020-02-14,11,Standard Class,Home & Furniture,Bed Sheets
HF-2017-10784,2020-07-31,2020-08-09,9,First Class,Home & Furniture,Towels
AU-1946-57359,2016-09-14,2016-09-16,2,Standard Class,Auto & Accessories,Car Seat Covers
FA-1978-22746,2022-11-21,2022-12-06,15,Standard Class,Fashion,Formal Shoes
AU-2008-00934,2022-06-27,2022-07-07,10,Standard Class,Auto & Accessories,Car Speakers
HF-1938-20165,2014-08-02,2014-08-09,7,Standard Class,Home & Furniture,Beds
HF-1903-33525,2022-09-12,2022-10-07,25,Standard Class,Home & Furniture,Sofas
AU-1901-64515,2010-01-01,2010-01-14,13,Standard Class,Auto & Accessories,Car Speakers
EL-1944-87523,2015-04-28,2015-05-09,11,Standard Class,Electronics,Iron
FA-1982-51202,2018-01-24,2018-01-29,5,First Class,Fashion,Casual Shoes
EL-1945-54437,2010-12-21,2011-01-18,28,Standard Class,Electronics,Watch
EL-2012-49959,2010-04-06,2010-05-03,27,Standard Class,Electronics,Watch
AU-1938-25934,2010-11-09,2010-11-24,15,Standard Class,Auto & Accessories,Car Media Players
FA-1943-17711,2014-02-24,2014-02-25,1,First Class,Fashion,Sneakers
FA-1972-58920,2020-08-10,2020-09-01,22,Standard Class,Fashion,Casual Shoes
AU-1929-23375,2016-09-11,2016-09-23,12,First Class,Auto & Accessories,Car Pillow & Neck Rest
FA-1913-01923,2013-10-31,2013-11-19,19,First Class,Fashion,Shirts
FA-2010-52337,2018-08-05,2018-08-07,2,First Class,Fashion,Sneakers
FA-1913-73692,2016-03-20,2016-04-11,22,First Class,Fashion,Formal Shoes
EL-2023-75376,2015-01-29,2015-02-26,28,Standard Class,Electronics,LED
FA-1906-38717,2012-03-27,2012-04-14,18,First Class,Fashion,Suits
FA-1905-94386,2020-02-10,2020-02-22,12,First Class,Fashion,Sports Wear
EL-2011-80873,2018-09-04,2018-10-03,29,First Class,Electronics,LCD
AU-1978-04072,2019-10-27,2019-11-08,12,First Class,Auto & Accessories,Tyre
EL-2015-13823,2017-12-05,2017-12-07,2,First Class,Electronics,Apple Laptop
FA-1971-20811,2012-12-10,2013-01-03,24,Standard Class,Fashion,T-Shirts
EL-1970-65088,2013-06-17,2013-07-06,19,Standard Class,Electronics,Fans
EL-1981-38907,2021-01-02,2021-01-19,17,Standard Class,Electronics,Tablet
EL-1980-98524,2022-10-01,2022-10-24,23,First Class,Electronics,Mouse
HF-1953-51085,2013-03-20,2013-03-26,6,Standard Class,Home & Furniture,Beds
EL-1925-83755,2010-04-03,2010-04-11,8,First Class,Electronics,LED
FA-1960-50719,2016-07-13,2016-07-16,3,First Class,Fashion,Casual Shoes
FA-1981-09368,2013-10-08,2013-10-10,2,First Class,Fashion,Suits
EL-1991-93634,2011-03-09,2011-04-05,27,Standard Class,Electronics,LED
EL-1969-39050,2022-08-20,2022-09-01,12,Standard Class,Electronics,Watch
HF-1934-37013,2010-02-12,2010-02-25,13,Standard Class,Home & Furniture,Bed Sheets
FA-1944-25878,2013-02-01,2013-02-08,7,Standard Class,Fashion,T-Shirts
HF-1954-68795,2021-10-05,2021-10-13,8,Standard Class,Home & Furniture,Dinner Crockery
FA-2023-67733,2011-01-13,2011-02-03,21,Standard Class,Fashion,T-Shirts
HF-1985-57516,2010-05-03,2010-05-10,7,Standard Class,Home & Furniture,Beds
AU-1963-91907,2010-04-05,2010-04-09,4,First Class,Auto & Accessories,Car Mat
FA-1931-63950,2010-03-03,2010-03-04,1,Standard Class,Fashion,T-Shirts
HF-1949-67320,2018-10-09,2018-10-25,16,Standard Class,Home & Furniture,Beds
HF-1950-81904,2015-08-23,2015-08-27,4,Standard Class,Home & Furniture,Sofas
FA-1951-72662,2017-10-26,2017-11-09,14,Standard Class,Fashion,Casual Shoes
HF-1926-54782,2015-07-05,2015-07-28,23,Standard Class,Home & Furniture,Shoe Rack
HF-1918-65287,2016-06-15,2016-07-11,26,First Class,Home & Furniture,Dinner Crockery
AU-1965-63955,2020-10-04,2020-10-07,3,Standard Class,Auto & Accessories,Tyre
HF-1996-05822,2021-03-23,2021-03-28,5,First Class,Home & Furniture,Beds
HF-1978-01768,2013-06-15,2013-06-28,13,Standard Class,Home & Furniture,Shoe Rack
FA-1988-25495,2018-05-05,2018-05-21,16,Standard Class,Fashion,Sneakers
FA-1970-75472,2013-12-15,2013-12-18,3,Standard Class,Fashion,Sneakers
EL-1999-90652,2017-11-20,2017-11-30,10,Standard Class,Electronics,LED
AU-1967-24216,2018-08-10,2018-09-01,22,Standard Class,Auto & Accessories,Bike Tyres
EL-2003-56614,2019-11-11,2019-12-11,30,Standard Class,Electronics,Iron
EL-1926-62674,2021-12-30,2022-01-27,28,First Class,Electronics,Samsung Mobile
AU-1914-08382,2023-05-14,2023-05-17,3,First Class,Auto & Accessories,Car Mat
EL-1986-00060,2018-04-13,2018-04-21,8,Standard Class,Electronics,Tablet
FA-2020-50895,2013-11-20,2013-12-06,16,Standard Class,Fashion,T-Shirts
EL-1997-22698,2019-12-22,2020-01-15,24,Standard Class,Electronics,Samsung Mobile
EL-1944-08311,2019-10-13,2019-10-25,12,Standard Class,Electronics,Mixer/Juicer
HF-2017-03112,2018-10-05,2018-10-16,11,Standard Class,Home & Furniture,Beds
EL-1981-91046,2023-03-10,2023-03-30,20,First Class,Electronics,Mixer/Juicer
AU-1907-70932,2011-11-05,2011-11-15,10,First Class,Auto & Accessories,Car Seat Covers
FA-2019-98220,2019-09-30,2019-10-24,24,Standard Class,Fashion,Running Shoes
HF-1997-86131,2021-10-09,2021-10-10,1,First Class,Home & Furniture,Shoe Rack
HF-1964-06267,2019-02-04,2019-02-25,21,First Class,Home & Furniture,Sofas
HF-1959-55259,2020-10-08,2020-11-07,30,Standard Class,Home & Furniture,Sofas
FA-1966-69061,2022-03-12,2022-04-03,22,First Class,Fashion,Suits
HF-1992-59358,2019-04-05,2019-04-19,14,First Class,Home & Furniture,Beds
EL-1902-94568,2013-08-22,2013-09-06,15,Standard Class,Electronics,Tablet
FA-2016-59343,2023-03-31,2023-04-25,25,Standard Class,Fashion,Running Shoes
FA-1983-27726,2021-07-11,2021-08-07,27,First Class,Fashion,Sports Wear
HF-2020-03539,2020-10-29,2020-11-22,24,First Class,Home & Furniture,Sofas
FA-2018-59935,2018-07-18,2018-08-08,21,First Class,Fashion,Shirts
EL-1913-04856,2018-06-05,2018-06-28,23,First Class,Electronics,Apple Laptop
EL-1917-06862,2018-04-15,2018-04-27,12,First Class,Electronics,LCD
HF-1974-39613,2022-04-24,2022-05-08,14,First Class,Home & Furniture,Beds
HF-1946-12620,2022-11-22,2022-12-06,14,Standard Class,Home & Furniture,Towels
EL-1954-92173,2017-11-14,2017-11-25,11,First Class,Electronics,Iron
AU-1930-94256,2012-06-29,2012-07-28,29,First Class,Auto & Accessories,Car Pillow & Neck Rest
AU-1985-16147,2020-01-24,2020-02-13,20,Standard Class,Auto & Accessories,Tyre
AU-2003-22026,2016-01-13,2016-01-15,2,First Class,Auto & Accessories,Car Speakers
FA-1976-18131,2021-06-29,2021-07-23,24,Standard Class,Fashion,Running Shoes
HF-2022-40781,2015-03-17,2015-04-05,19,Standard Class,Home & Furniture,Dining Tables
HF-1930-64047,2019-01-25,2019-02-19,25,Standard Class,Home & Furniture,Bed Sheets
AU-1976-89537,2021-09-18,2021-09-24,6,First Class,Auto & Accessories,Car Seat Covers
HF-1940-51598,2016-11-21,2016-12-08,17,Standard Class,Home & Furniture,Curtains
AU-1924-87440,2020-08-08,2020-08-22,14,Standard Class,Auto & Accessories,Car Media Players
EL-1915-21933,2023-06-09,2023-06-15,6,Standard Class,Electronics,Iron
EL-1940-83370,2018-03-06,2018-03-30,24,First Class,Electronics,Apple Laptop
EL-1953-34846,2010-09-19,2010-09-20,1,First Class,Electronics,Watch
EL-2011-93727,2015-12-27,2016-01-22,26,First Class,Electronics,Tablet
AU-1949-25330,2010-04-03,2010-04-15,12,Standard Class,Auto & Accessories,Car Body Covers
HF-1909-79265,2018-09-10,2018-09-21,11,Standard Class,Home & Furniture,Bed Sheets
AU-1995-10512,2015-10-16,2015-11-05,20,Standard Class,Auto & Accessories,Car Speakers
FA-1980-98256,2012-01-21,2012-01-24,3,Standard Class,Fashion,Sneakers
EL-2008-22349,2022-05-06,2022-05-10,4,First Class,Electronics,Mouse
FA-1935-08038,2013-09-19,2013-09-23,4,Standard Class,Fashion,Sports Wear
EL-1906-99539,2022-06-23,2022-07-01,8,Standard Class,Electronics,LED
HF-1968-07680,2018-12-04,2018-12-20,16,Standard Class,Home & Furniture,Towels
HF-2019-11746,2017-11-22,2017-12-15,23,Standard Class,Home & Furniture,Shoe Rack
AU-1916-78271,2013-11-07,2013-12-05,28,First Class,Auto & Accessories,Car Pillow & Neck Rest
