Order_ID,Agent_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Customer_ID
HF-1951-85532,Agent_637218,00518873,25,4,5989,423.18,Low,FZ7296
EL-1963-83234,Agent_1006925,74115578,61,6,3063,557.68,Low,WX2690
FA-2008-52498,Agent_1963458,48778766,76,1,3584,213.66,High,XM0723
EL-1919-96909,Agent_1607241,81069290,42,8,5442,330.71,High,MY9873
HF-1999-89470,Agent_234908,00389082,95,8,1533,725.14,High,AD5434
HF-2003-12620,Agent_1376024,18093095,23,7,9967,124.51,High,CT5950
HF-2024-72739,Agent_1497843,28856840,18,3,5101,431.07,Low,ZN6277
EL-2004-03332,Agent_431159,66623233,12,4,9863,878.65,Critical,CM7075
HF-2024-73974,Agent_1636966,68422281,30,1,1932,562.62,Low,NY1496
FA-1970-97462,Agent_2290518,90457774,22,9,4983,783.33,Critical,BE8110
EL-2022-33434,Agent_1793165,92134629,83,3,1610,136.76,Critical,DH7561
AU-1952-43481,Agent_2095103,78340841,73,5,7321,462.65,Low,FR0003
HF-1924-24556,Agent_796117,81230156,93,6,3638,936.73,Medium,WL8295
HF-1945-28013,Agent_1029044,21318593,45,8,2081,938.63,Low,OY9033
HF-1907-30170,Agent_2008955,90824226,21,7,7513,61.97,High,VI8963
FA-1974-04786,Agent_569799,73863553,60,4,0072,215.21,Critical,II7168
FA-1989-74230,Agent_2080380,95304359,75,8,9420,441.20,Low,HC7456
AU-1972-98303,Agent_1867213,97787680,33,0,6034,210.71,High,WW7517
AU-1950-01120,Agent_2024897,32373503,56,1,3523,106.87,Low,ZL9707
AU-1938-12562,Agent_1458198,72666419,69,2,0651,953.35,High,LW3531
EL-1988-73940,Agent_1669000,80334719,93,4,5769,868.99,High,JJ0234
FA-1934-01867,Agent_1698368,61501474,16,6,7523,769.22,Medium,QV0482
FA-1911-56464,Agent_2211039,82815993,04,8,3023,271.61,Medium,EL7047
HF-1948-10058,Agent_1023382,17569082,05,1,0277,855.54,Critical,JI0474
HF-1946-89256,Agent_2324361,42633749,81,6,7817,279.94,Low,ZO7010
HF-1953-54455,Agent_1339341,21926486,10,9,4365,805.99,Medium,SZ4559
AU-1915-96098,Agent_1110611,53791561,90,4,7658,93.07,High,XG8969
FA-1934-64099,Agent_2285045,79311605,10,2,0673,545.74,Critical,XG6283
FA-1932-20852,Agent_1378206,15850517,20,9,7473,588.75,Critical,FB9267
HF-2004-46943,Agent_630219,39801922,58,0,0493,818.24,High,EY4475
AU-1995-21302,Agent_2120529,33399269,44,8,7164,170.11,Medium,KD0900
EL-1964-19981,Agent_251431,73996499,48,7,0667,287.16,High,VG3244
FA-2007-89508,Agent_206258,54651735,87,8,2169,523.54,Medium,WG4737
EL-1991-30483,Agent_2292943,25791303,30,6,4958,524.41,Medium,CI8542
EL-1995-22396,Agent_1112196,12427031,90,0,1766,929.31,Critical,HZ1127
FA-1987-02877,Agent_1102010,30584698,76,0,2004,597.31,Medium,JW2124
HF-1960-25533,Agent_1923159,13256447,35,9,5241,167.59,Critical,DX1593
EL-1927-61828,Agent_1569895,21168453,81,5,2684,659.94,Medium,LK6469
AU-2004-93869,Agent_1229308,37133131,57,0,5592,782.19,High,OH9636
HF-1935-91988,Agent_2271598,89650332,46,2,3502,219.25,Medium,BM8116
EL-2000-44092,Agent_173742,61545224,43,6,0975,71.76,Low,RQ1955
HF-1902-29763,Agent_649067,73998037,82,6,2798,927.95,High,CV0485
FA-1994-79229,Agent_1055368,59075735,19,3,8889,235.25,Low,PH1103
EL-1966-49999,Agent_1428678,06239101,11,5,3592,821.48,Low,YC0705
FA-1966-48401,Agent_2029019,47897905,31,4,9213,304.99,Low,QD8122
AU-1972-36581,Agent_822342,20718507,67,4,2420,724.10,Low,LG7892
HF-1961-55782,Agent_1735966,90083557,23,5,0721,386.89,Medium,IH8766
EL-1981-49238,Agent_2072833,17619373,55,2,6711,33.62,High,SS3128
AU-1978-66701,Agent_288061,77377535,99,8,4949,941.60,Medium,OL0259
EL-1933-20039,Agent_4617,89194125,46,0,6806,73.74,High,KH0150
AU-1998-22562,Agent_1009639,56231567,49,6,3199,395.48,Low,LB7144
AU-1927-36282,Agent_752541,12879107,38,8,5871,294.15,Critical,RX5172
HF-1958-89972,Agent_1391211,04154235,59,4,4471,898.12,Medium,TP1415
AU-1988-17376,Agent_833395,37852782,63,9,3967,373.41,Low,EE0120
FA-1921-69013,Agent_688981,40798270,08,6,7160,602.14,Critical,BT4283
AU-2008-98597,Agent_1049957,16132276,89,0,4861,402.81,Critical,IE8387
FA-1940-94672,Agent_1688068,73531789,30,3,5456,388.18,High,MP8040
AU-1965-08537,Agent_1824403,66714141,25,0,5165,207.44,Critical,EN0028
FA-1924-18231,Agent_515374,45563248,45,0,2250,907.82,Critical,IH0006
FA-2009-41643,Agent_2374707,06028770,45,3,8413,348.09,High,LI6851
HF-1946-66979,Agent_1739879,35131971,96,9,2981,483.73,Critical,PG2244
FA-1941-27777,Agent_2158694,08995919,69,8,8566,487.37,High,ZU3536
FA-1945-48215,Agent_1887085,68840412,65,4,6165,18.76,Critical,VL4921
HF-1900-19387,Agent_1998868,04738567,38,5,6398,727.02,Low,XG5110
HF-1928-87262,Agent_1474954,93485547,09,0,1478,205.62,Medium,YS0823
EL-1947-98342,Agent_2169258,35653598,26,4,7293,623.89,High,SN4538
HF-2015-19178,Agent_430847,68081261,40,9,4821,781.24,Critical,EQ4351
FA-1911-23044,Agent_2159170,25237434,36,5,6960,415.42,Critical,VC2986
EL-1948-75071,Agent_2176063,86897185,30,1,3338,538.70,High,ZV0938
AU-1937-03566,Agent_1781911,75406160,39,9,4245,625.08,Low,CW3867
AU-2011-41945,Agent_1470768,39964098,16,3,0661,74.12,High,XR2606
AU-1990-62775,Agent_370703,78055255,73,8,6075,504.91,Low,CF9402
HF-1988-59776,Agent_220619,60218975,96,1,9595,560.75,Low,ZO3452
AU-1935-22928,Agent_1644984,24726733,20,7,4739,461.49,Medium,JJ8392
HF-1917-29013,Agent_1479334,33965909,99,8,3460,360.30,Medium,AP3853
