LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,40.6895,-74.1745
2,Queens,Jamaica Bay,Boro Zone,40.6097,-73.8233
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.8667,-73.8478
4,Manhattan,Alphabet City,Yellow Zone,40.7258,-73.9795
5,Staten Island,Arden Heights,Boro Zone,40.5563,-74.1737
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.5964,-74.0671
7,Queens,Astoria,Boro Zone,40.7644,-73.9235
8,Queens,Astoria Park,Boro Zone,40.779,-73.9229
9,Queens,Auburndale,Boro Zone,40.757,-73.7898
10,Queens,Baisley Park,Boro Zone,40.6781,-73.7855
11,Brooklyn,Bath Beach,Boro Zone,40.594224,-74.006131
12,Manhattan,Battery Park,Yellow Zone,40.703282,-74.017027
13,Manhattan,Battery Park City,Yellow Zone,40.711932,-74.016869
14,Brooklyn,Bay Ridge,Boro Zone,40.625801,-74.030621
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.791211,-73.776978
16,Queens,Bayside,Boro Zone,40.76314,-73.77125
17,Brooklyn,Bedford,Boro Zone,40.687216,-73.941776
18,Bronx,Bedford Park,Boro Zone,40.8701,-73.885691
19,Queens,Bellerose,Boro Zone,40.733014,-73.722938
20,Bronx,Belmont,Boro Zone,40.85232,-73.88601
21,Brooklyn,Bensonhurst East,Boro Zone,40.610019,-73.992507
22,Brooklyn,Bensonhurst West,Boro Zone,40.611011,-74.002925
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.605883,-74.105138
24,Manhattan,Bloomingdale,Yellow Zone,40.801181,-73.964646
25,Brooklyn,Boerum Hill,Boro Zone,40.685683,-73.984501
26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.996938
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.557154,-73.925042
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.710185,-73.810501
29,Brooklyn,Brighton Beach,Boro Zone,40.577621,-73.961376
30,Queens,Broad Channel,Boro Zone,40.61675,-73.815959
31,Bronx,Bronx Park,Boro Zone,40.8504855,-73.877832
32,Bronx,Bronxdale,Boro Zone,40.8527235,-73.861726
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6960854,-73.995858
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.7016619,-73.969356
35,Brooklyn,Brownsville,Boro Zone,40.6630806,-73.909527
36,Brooklyn,Bushwick North,Boro Zone,40.7068344,-73.942253
37,Brooklyn,Bushwick South,Boro Zone,40.6981167,-73.914279
38,Queens,Cambria Heights,Boro Zone,40.6921585,-73.736406
39,Brooklyn,Canarsie,Boro Zone,40.6355643,-73.902093
40,Brooklyn,Carroll Gardens,Boro Zone,40.6805409,-73.994654
41,Manhattan,Central Harlem,Boro Zone,40.807879,-73.945415
42,Manhattan,Central Harlem North,Boro Zone,40.8115504,-73.946476
43,Manhattan,Central Park,Yellow Zone,40.785091,-73.968285
44,Staten Island,Charleston/Tottenville,Boro Zone,40.5445983,-74.219831
45,Manhattan,Chinatown,Yellow Zone,40.7157517,-73.997031
46,Bronx,City Island,Boro Zone,40.8472472,-73.787481
47,Bronx,Claremont/Bathgate,Boro Zone,40.84187,-73.907946
48,Manhattan,Clinton East,Yellow Zone,40.7641011,-73.996119
49,Brooklyn,Clinton Hill,Boro Zone,40.6895291,-73.963249
