Agent_ID,Product_Category,Commission_Percentage
Agent_409356,Auto & Accessories,22.34
Agent_101234,Fashion,43.89
Agent_1632787,Fashion,62.36
Agent_1253223,Home & Furniture,14.09
Agent_1812792,Electronics,29.40
Agent_266963,Auto & Accessories,71.00
Agent_1915242,Electronics,2.08
Agent_1059682,Electronics,85.77
Agent_684624,Electronics,16.68
Agent_2104753,Fashion,31.34
Agent_1699460,Home & Furniture,8.72
Agent_1253503,Fashion,99.40
Agent_2213783,Auto & Accessories,27.94
Agent_1731199,Electronics,8.95
Agent_2264094,Fashion,27.20
Agent_1930585,Home & Furniture,94.78
Agent_426024,Fashion,84.99
Agent_1453154,Fashion,32.16
Agent_2188036,Auto & Accessories,84.51
Agent_871878,Home & Furniture,11.51
Agent_2163886,Electronics,51.79
Agent_1941434,Auto & Accessories,65.40
Agent_827565,Fashion,14.39
Agent_2254913,Fashion,67.11
Agent_1755415,Fashion,79.54
Agent_1956466,Auto & Accessories,74.39
Agent_1197889,Home & Furniture,18.21
Agent_837907,Fashion,69.40
Agent_2048899,Fashion,52.99
Agent_1108626,Electronics,33.92
Agent_1303552,Home & Furniture,39.74
Agent_1245761,Fashion,67.98
Agent_1959865,Auto & Accessories,56.59
Agent_2219306,Auto & Accessories,93.37
Agent_248820,Fashion,28.63
Agent_146344,Home & Furniture,76.15
Agent_414579,Auto & Accessories,9.64
Agent_1008809,Home & Furniture,76.15
Agent_684254,Fashion,91.03
Agent_1609691,Auto & Accessories,43.66
Agent_623580,Electronics,18.71
Agent_1694511,Electronics,86.95
Agent_1578606,Electronics,37.77
Agent_1612505,Home & Furniture,28.46
Agent_2333674,Electronics,84.22
Agent_1659714,Auto & Accessories,41.26
Agent_2180586,Electronics,87.82
Agent_616925,Auto & Accessories,49.90
Agent_1720601,Auto & Accessories,29.68
Agent_245176,Auto & Accessories,38.68
Agent_1910568,Fashion,56.37
Agent_191309,Electronics,2.94
Agent_1574030,Fashion,74.16
Agent_894902,Electronics,49.28
Agent_2309768,Home & Furniture,81.33
Agent_1787734,Electronics,97.30
Agent_1608140,Fashion,14.43
Agent_528974,Home & Furniture,52.14
Agent_921230,Fashion,84.99
Agent_1982615,Electronics,95.72
Agent_2301290,Electronics,3.58
Agent_2152865,Auto & Accessories,81.80
Agent_729623,Electronics,49.10
Agent_2272749,Home & Furniture,30.21
Agent_119813,Fashion,64.50
Agent_2347975,Electronics,2.78
Agent_946269,Electronics,25.48
Agent_925455,Auto & Accessories,49.89
Agent_185754,Auto & Accessories,54.28
Agent_2027931,Auto & Accessories,93.11
Agent_1937370,Electronics,79.19
Agent_124605,Home & Furniture,66.64
Agent_423019,Fashion,63.41
Agent_33137,Home & Furniture,80.29
Agent_1538079,Electronics,39.96
Agent_500235,Auto & Accessories,9.24
Agent_874040,Electronics,17.67
Agent_374583,Auto & Accessories,38.85
Agent_118483,Fashion,39.30
Agent_1234282,Fashion,23.06
Agent_1244175,Home & Furniture,60.92
Agent_419613,Electronics,41.03
Agent_1730530,Fashion,43.98
Agent_962989,Home & Furniture,71.18
Agent_230837,Fashion,34.57
Agent_2254709,Electronics,32.69
Agent_1940331,Auto & Accessories,32.17
Agent_2130535,Auto & Accessories,75.04
Agent_481327,Home & Furniture,8.76
Agent_1754171,Home & Furniture,39.32
Agent_1951789,Fashion,60.42
Agent_288296,Home & Furniture,76.75
Agent_2228503,Electronics,38.20
Agent_1321129,Home & Furniture,43.59
Agent_977240,Fashion,83.15
Agent_2271652,Fashion,28.44
Agent_807105,Fashion,47.74
Agent_1419514,Electronics,36.26
Agent_1325779,Fashion,42.66
Agent_98193,Auto & Accessories,81.47
Agent_591768,Electronics,69.74
Agent_1544499,Fashion,77.82
Agent_1945812,Auto & Accessories,45.06
Agent_132360,Home & Furniture,85.98
Agent_158610,Electronics,39.16
Agent_1984525,Electronics,8.50
Agent_290802,Auto & Accessories,5.16
Agent_1007606,Fashion,21.15
Agent_1953629,Fashion,58.74
Agent_34826,Electronics,54.37
Agent_1630712,Home & Furniture,88.71
Agent_404776,Home & Furniture,59.51
Agent_837901,Fashion,54.76
Agent_1032059,Fashion,22.26
Agent_2203892,Auto & Accessories,58.40
Agent_333683,Fashion,82.11
Agent_315463,Electronics,91.66
Agent_62731,Auto & Accessories,42.27
Agent_461254,Fashion,70.04
Agent_1372488,Home & Furniture,9.24
Agent_1651270,Auto & Accessories,89.47
Agent_104864,Auto & Accessories,74.52
Agent_184446,Fashion,12.89
Agent_1099134,Fashion,36.17
Agent_1677302,Fashion,70.15
Agent_2366874,Fashion,38.01
Agent_1129516,Home & Furniture,79.95
Agent_776446,Auto & Accessories,92.91
Agent_1732874,Fashion,18.79
Agent_650965,Auto & Accessories,16.97
Agent_1160375,Home & Furniture,15.00
Agent_1636277,Home & Furniture,76.92
Agent_1968447,Electronics,39.65
Agent_61437,Electronics,99.90
Agent_934293,Home & Furniture,74.67
Agent_1110391,Home & Furniture,48.27
