Order_ID,Agent_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Customer_ID
AU-1985-91161,Agent_2111668,64906560,35,8,8282,379.15,High,RC2928
HF-2004-67920,Agent_2132134,44505482,55,3,6454,505.67,Critical,HH9358
EL-1954-26443,Agent_466535,74735678,80,0,5726,46.46,Medium,BY0532
AU-1919-61337,Agent_6082,04793526,36,5,3033,379.61,Low,IM0037
HF-2023-79246,Agent_2220867,17485626,53,0,6330,548.60,Medium,NC4658
HF-1975-83336,Agent_1642785,82028855,90,1,1897,298.92,Low,GS4006
FA-1934-96080,Agent_216579,79231983,45,1,9127,996.45,Low,FB2161
AU-1999-94308,Agent_1486076,02222355,86,4,6620,771.74,Low,QU7268
FA-2006-21810,Agent_1978042,02113696,01,8,0221,820.27,Medium,UU7217
EL-2003-49036,Agent_465131,38761320,11,8,8603,536.45,High,MM9492
FA-2007-54722,Agent_1659218,78212553,79,8,3959,179.76,Critical,PW5051
EL-1961-10441,Agent_1131979,31352780,94,9,3965,599.63,High,NK7327
FA-1920-10931,Agent_1447448,88593816,07,3,9627,76.85,High,WT6618
FA-2017-36985,Agent_1085337,03236286,20,4,1932,24.55,Critical,PB4711
FA-1909-64130,Agent_429955,04245543,69,7,4007,513.71,Critical,DM9144
AU-1968-75040,Agent_2093982,57734322,46,8,5253,671.55,Medium,TD1809
HF-1902-31172,Agent_1429973,51349051,41,7,9536,170.31,High,IF7514
EL-1942-35345,Agent_1311977,49384695,64,9,2525,56.09,High,IO2378
FA-2009-84138,Agent_1225808,24111673,17,4,6037,799.91,Medium,QG7055
EL-2015-41117,Agent_1336389,48494754,10,8,6988,66.72,High,YG4881
AU-1955-84871,Agent_166335,20790149,27,6,0138,948.36,Critical,OT3043
EL-1900-36369,Agent_203059,29790986,07,0,7223,712.49,High,RE0346
EL-2003-55909,Agent_2257593,54196764,95,0,7102,764.87,Low,QZ0976
EL-1963-96846,Agent_359175,64935428,35,1,7635,757.42,Critical,QK6150
FA-1928-27816,Agent_1348708,75665554,65,8,5527,585.00,High,XY9748
AU-2000-22609,Agent_1172222,87898946,94,4,5596,659.56,Low,FY8935
FA-2017-93633,Agent_783599,34944221,11,2,8645,843.59,High,FT7858
AU-1935-77455,Agent_1492215,58412563,05,8,3262,870.30,High,KS0816
EL-1985-35191,Agent_1755863,15570925,78,8,3280,907.83,Medium,YU2122
FA-1931-79142,Agent_20210,22790022,28,2,3187,642.54,Critical,TV3023
FA-1916-08572,Agent_839866,90351516,24,1,9587,499.42,Critical,QV1359
HF-1978-94464,Agent_220204,90388678,51,3,0208,903.62,Medium,IL1007
AU-1916-25356,Agent_857038,39038622,75,3,8890,687.56,Low,QF3858
EL-1991-34280,Agent_333467,51389376,65,8,4552,861.75,Medium,ZH3574
FA-1932-64797,Agent_958310,82557317,79,1,5141,135.93,Low,ZB6510
FA-1960-22104,Agent_1112084,11828919,35,3,4059,797.50,Critical,AH7638
